Sample ID,Type,Volume [L],Mid sampling,Season,Year,Latitude,Longitude,Salinity,Temperature (°C),224Ra (dpm/100L),224Ra (err),223Ra (dpm/100L),223Ra (err),228Ra (dpm/100L),228Ra (err),226Ra (dpm/100L),226Ra (err)
S3D,Lagoon,39.31,9/29/2022 16:20,Freeze Up,2022,70.518553,-149.629691,0.08,-0.45,32,0.6,2.98,0.35,13.9,1.1,11.8,0.6
S4,Lagoon,57.86,9/30/2022 11:30,Freeze Up,2022,70.515221,-149.634966,0.16,-0.4,33.4,0.8,4.23,0,17.3,1.9,14.3,0.4
S5,Lagoon,56.27,9/29/2022 12:00,Freeze Up,2022,70.512012,-149.638917,0.47,-0.36,40.1,0.7,5.32,0.48,20,2,14.4,0.4
S6,Lagoon,59.9,9/30/2022 13:15,Freeze Up,2022,70.508338,-149.642745,31.2,-0.39,26.4,0.5,2.37,0.24,12.8,1.2,9.4,0.3
No Point Creek,River,61.64,10/1/2022 11:35,Freeze Up,2022,70.49519,-149.64775,11.2,-0.06,2.5,0.2,0.18,0.08,,,4.5,0.1
Kuparak,River,61.98,10/1/2022 13:56,Freeze Up,2022,70.26707,-148.63162,7.7,0.4,2.5,0.2,0.21,0.06,1.9,0.3,2.5,0.1
Putuligayuk,River,61.6,10/1/2022 15:20,Freeze Up,2022,70.32658,-148.94975,1,0.31,1.3,0.2,0.08,0.04,,,2,0.1
BDOC_GW2,Groundwater,37.72,9/30/2022 0:00,Freeze Up,2022,70.503484,-149.640819,1.4,0.1,0.7,0.3,0.16,0.06,,,,
B4.5,Groundwater,37.75,10/2/2022 0:00,Freeze Up,2022,70.504035,-149.642392,19.15,-1,71.6,1.2,6.35,0.68,15.6,1.4,13.6,0.4
B2Rad1,Groundwater,20.25,10/1/2022 14:20,Freeze Up,2022,70.504035,-149.642392,10.5,-0.1,9.7,0.9,0.42,0.28,7,1.3,1.3,0.2
B1Rad1,Groundwater,4.28,10/1/2022 15:57,Freeze Up,2022,,,,-0.1,12.1,2.7,1.07,0.46,,,10.6,0.5
E_negative2_RAD,Groundwater,14.14,10/2/2022 0:00,Freeze Up,2022,70.5041081,-149.6454115,,0.8,0.7,0.4,0.12,0.01,,,0.9,0.2
E4_PVCpiezo,Groundwater,12.14,10/4/2022 12:58,Freeze Up,2022,,,,0.2,2.8,0.5,0.03,0.02,,,2.5,0.1
E5_solinst,Groundwater,19.3,10/3/2022 14:31,Freeze Up,2022,,,,-0.87,5.5,0.5,0.25,0.2,,,1.3,0.1
D3_solinst,Groundwater,36.4,10/4/2022 13:52,Freeze Up,2022,70.5048679,-149.6494982,,-0.1,20.1,0.5,1.75,0.22,9.8,1.2,3,0.1
